year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_ADV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,RENEWABLE,PENETRATION
2030,0.0,7369.614257018717,0.0,67915.18371169947,101183.25676368902,12882.907417364482,15669.173254183634,28552.080671548116,0.12214793870181012
2030,0.0,6111.416485565195,0.0,65883.05449422123,101183.256763689,12742.977932341435,17619.196619663995,30362.174552005432,0.1298916558374564
2030,0.0,5868.312152344128,0.0,69084.94490902002,101183.2567636891,9885.272661050421,17232.110929527327,27117.38359057775,0.11601019717894225
2030,0.0,6705.264295923506,0.0,64599.82893515054,101183.25676368912,14300.388727258478,17449.808305313716,31750.197032572192,0.13582971992544254
2030,0.0,5208.609239962285,0.0,66583.35775331009,101183.25676368926,11933.198645272496,17569.354177784913,29502.55282305741,0.12621412972430976
2030,0.0,6428.289145642221,0.0,65931.54113435757,101183.25676368896,13460.480685591458,16909.126395993084,30369.60708158454,0.1299234527554419
2030,0.0,5402.542052975069,0.0,66144.74214750051,101183.25676368899,14052.459706585423,15922.932089289492,29975.391795874915,0.12823697024973227
2030,0.0,5036.826418130617,0.0,64769.95068348408,101183.2567636893,13206.265873552422,18079.378904232984,31285.644777785405,0.13384233060015147
2030,0.0,6396.195467830183,0.0,69773.86169286937,101183.25676368899,9797.68255400442,16723.940114947516,26521.622668951935,0.11346148735380507
2030,0.0,7475.917843905691,0.0,65055.309337343824,101183.25676368903,14363.829273328423,17066.88526975239,31430.714543080816,0.13446294991692329
2030,0.0,5993.951794833359,0.0,70985.46975342846,101183.25676368902,8970.555366218467,16268.47474029517,25239.030106513637,0.10797446034872145
2030,0.0,6678.718606544395,0.0,69602.95749651943,101183.256763689,11073.210762486417,15669.17325418366,26742.384016670076,0.1144059209269308
2030,0.0,4983.351460078082,0.0,68657.12028310038,101183.25676368926,9769.842061232514,17619.196619663988,27389.0386808965,0.11717235799314012
2030,0.0,5625.824665971054,0.0,69404.8059626857,101183.25676368918,9522.619919251312,17232.110929527396,26754.73084877871,0.1144587415990533
2030,0.0,6199.133631718642,0.0,64706.0982298105,101183.25676368899,14104.802130208936,17449.808305313712,31554.61043552265,0.13499298582041774
2030,0.0,4578.075022096025,0.0,67196.76309830043,101183.25676368912,11208.522543045045,17569.354177784873,28777.876720829918,0.12311391110515472
2030,0.0,6024.41895791566,0.0,66738.2551040862,101183.25676368919,12582.495469407946,16909.126395993047,29491.621865400994,0.12616736626909517
2030,0.0,4316.993264117843,0.0,70474.58140225163,101183.25676368902,9531.052661298341,15922.93208928946,25453.9847505878,0.10889405240893175
2030,0.0,3923.7594699430542,0.0,68645.27547968036,101183.25676368865,9134.517658943847,18079.378904232977,27213.896563176822,0.11642308690129122
2030,0.0,5736.752602868128,0.0,69448.75719282005,101183.25676368932,10006.414740026306,16723.940114947574,26730.35485497388,0.11435445927261553
2030,0.0,6698.795607685953,0.0,67502.45909712379,101183.25676368919,11779.540329337133,17066.885269752416,28846.425599089547,0.123407168338351
2030,0.0,5797.2545900277,0.0,71783.17995457943,101183.25676368903,8138.134101463521,16268.474740295089,24406.60884175861,0.10441329985779085
2030,0.0,5587.977532618385,0.0,70568.90767121075,101183.25676368909,9914.77704991592,15669.173254183686,25583.950304099606,0.1094500547768967
2030,0.0,5733.664555180908,0.0,64149.67789226512,101183.2567636888,14409.692824670925,17619.196619664002,32028.889444334927,0.13702198692763606
2030,0.0,5879.156515673029,0.0,67589.6146840005,101183.25676368928,11382.516698463889,17232.110929527422,28614.62762799131,0.12241551926413395
2030,0.0,5930.88302074727,0.0,63602.63794945232,101183.256763689,15160.92448075693,17449.808305313803,32610.732786070734,0.13951115630404592
2030,0.0,4545.463187050537,0.0,66339.12858115905,101183.25676368947,12060.402021417873,17569.35417778494,29629.756199202813,0.12675831529070722
2030,0.0,6620.752369759251,0.0,61864.29807204178,101183.25676368953,17561.687655378933,16909.126395992887,34470.814051371824,0.14746872321442492
2030,0.0,5851.1958811309505,0.0,65738.64313541334,101183.25676368923,14537.732732119965,15922.932089289421,30460.664821409388,0.13031300458356956
2030,0.0,5212.693519629765,0.0,64699.84629285319,101183.25676368937,13307.406131959911,18079.378904233025,31386.785036192938,0.13427501619761684
2030,0.0,6347.909627752145,0.0,66526.07006806828,101183.25676368913,13036.95290139396,16723.940114947633,29760.893016341593,0.12731932841215654
2030,0.0,6105.843179733517,0.0,67372.13497072039,101183.25676368905,11805.225442256913,17066.88526975247,28872.110712009384,0.1235170511743717
2030,0.0,5871.086469670986,0.0,67791.30203615059,101183.25676368875,12143.041137698925,16268.474740295223,28411.51587799415,0.12154659199141882
2030,0.0,6214.934947388623,0.0,68295.13340080944,101183.25676368932,12299.19089569719,15669.173254183603,27968.364149880792,0.11965075572141515
2030,0.0,5552.003081132427,0.0,65295.90958049701,101183.2567636892,13231.40300866218,17619.196619663977,30850.599628326156,0.1319811748805397
2030,0.0,6219.089428067496,0.0,69024.97528343825,101183.25676368907,10007.144404970219,17232.110929527415,27239.255334497633,0.11653157362351929
2030,0.0,6782.9914884840155,0.0,63735.913674155636,101183.25676368922,15178.020539084246,17449.80830531379,32627.828844398035,0.1395842945214889
2030,0.0,5631.61556776329,0.0,67790.11654120065,101183.25676368919,10801.08796265018,17569.354177784888,28370.442140435065,0.12137087546710189
2030,0.0,6913.859706090491,0.0,65943.5216675303,101183.25676368918,13534.1891021642,16909.12639599309,30443.31549815729,0.1302387828798173
