year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
2040,6.2974327,2.4444,29.839689999999997,5.02332,12.42,40.789483999999995,18.782034,0.30483017,0.0,0.0
2045,6.2974327,2.35704,33.212591999999994,0.6888,12.42,47.368610999999994,20.054164,0.30483017,0.0,0.0
2050,6.2974327,2.2556,37.565675999999996,0.6888,12.42,52.405262,21.484592,0.30483017,0.0,0.0
2025,0.0,7.5059,1.5206291,16.3716,12.42,0.2672,8.7711929,0.0,0.0,0.0
2030,4.642456,5.04524,22.426547,16.3327,12.42,32.042047,18.346961999999998,0.0,0.0,0.0
2035,4.642456,2.81574,25.311812000000003,15.903979999999999,12.42,36.402142999999995,20.815968,0.0,0.0,0.0
2040,4.642456,2.4444,28.29557,5.02332,12.42,40.696725,23.248099,0.0,0.0,0.0
2045,4.642456,2.35704,31.316674,0.6888,12.42,44.966465,25.666245999999997,0.0,0.0,0.0
2050,4.642456,2.2556,34.715012,0.6888,12.42,48.978860999999995,27.954832999999997,0.0,0.0,0.0
2025,0.0,7.5059,1.3323911000000002,16.3716,12.42,0.2672,9.316374,0.0,0.0,0.0
2030,6.4952601,5.04524,21.706487000000003,16.3327,12.42,26.40734,17.680225,0.0,0.0,0.0
2035,6.4952601,2.81574,25.507654,15.903979999999999,12.42,30.619658,19.884419,0.0,0.0,0.0
2040,6.4952601,2.4444,28.818762,5.02332,12.42,34.709182999999996,22.627330999999998,0.0,0.0,0.0
2045,6.4952601,2.35704,32.452462,0.6888,12.42,38.552947999999994,25.260360000000002,0.0,0.0,0.0
2050,6.4952601,2.2556,35.844262,0.6888,12.42,42.704515,27.954983,0.0,0.0,0.0
2025,0.0,7.5059,0.7748882,16.3716,12.42,0.2672,6.29482,0.0,0.0,0.0
2030,1.6017754,5.04524,22.832196,16.3327,12.42,37.965299,16.659221000000002,0.0,0.0,0.0
2035,1.6017754,2.81574,25.443894,15.903979999999999,12.42,42.049011,18.444681,0.0,0.0,0.0
2040,1.6017754,2.4444,28.055512999999998,5.02332,12.42,46.132512999999996,20.230437000000002,0.0,0.0,0.0
2045,1.6017754,2.35704,30.664862,0.6888,12.42,50.209964,22.024746,0.0,0.0,0.0
2050,1.6017754,2.2556,33.262879,0.6888,12.42,54.257199,23.861754,0.0,0.0,0.0
