year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2025,0.0,7.5059,1.3985174,16.3716,12.42,0.2672,9.047687
2030,6.1287310999999995,5.04524,22.53379,16.3327,12.42,31.077213,15.158168
2035,6.1287310999999995,2.81574,25.390096,15.903979999999999,12.42,36.361644,17.474694
2040,6.1287310999999995,2.4444,28.714663,5.02332,12.42,41.127995000000006,19.747256
2045,6.1287310999999995,2.35704,32.558464,0.6888,12.42,45.318905,21.971863000000003
2050,6.1287310999999995,2.2556,35.787102,0.6888,12.42,50.188136,24.256111
2025,0.0,7.5059,1.5166895,16.3716,12.42,0.2672,8.7703208
2030,5.753176099999999,5.04524,20.956925,16.3327,12.42,35.961081,14.182711
2035,5.753176099999999,2.81574,23.729312,15.903979999999999,12.42,41.448089,16.228977999999998
2040,5.753176099999999,2.4444,26.76963,5.02332,12.42,46.650954,18.32117
2045,5.753176099999999,2.35704,30.502022,0.6888,12.42,51.181581,20.410211999999998
2050,5.753176099999999,2.2556,33.844649,0.6888,12.42,56.092159,22.498348999999997
2025,0.0,7.5059,1.3284619,16.3716,12.42,0.2672,9.3158565
2030,7.7682477,5.04524,18.043428,16.3327,12.42,25.753536,16.726807
2035,7.9759167,2.81574,20.731908999999998,15.903979999999999,12.42,29.683769,19.354122
2040,8.3316708,2.4444,23.301428,5.02332,12.42,33.230099,21.66722
2045,8.3316708,2.35704,27.174686,0.6888,12.42,37.618746,24.272973
2050,8.3316708,2.2556,31.238834,0.6888,12.42,41.986127,26.797128
2025,0.0,7.5059,1.4146967,16.3716,12.42,0.2672,9.6123157
2030,4.7770928999999995,5.04524,25.091629,16.3327,12.42,40.501306,13.321464
2035,4.7770928999999995,2.81574,28.360966,15.903979999999999,12.42,46.209784,15.09982
2040,4.7770928999999995,2.4444,31.439305,5.02332,12.42,52.125330999999996,16.891318
2045,4.7770928999999995,2.35704,35.184658999999996,0.6888,12.42,57.308852,18.648199
2050,4.7770928999999995,2.2556,38.931639000000004,0.6888,12.42,62.496598,20.404255000000003
2025,0.0,7.5059,1.0421633,16.3716,12.42,0.2672,8.557084399999999
2030,5.6272952,5.04524,22.433545,16.3327,12.42,33.340074,14.270954
2035,5.6272952,2.81574,25.641883999999997,15.903979999999999,12.42,38.051089999999995,16.339299999999998
2040,5.6272952,2.4444,29.066603999999998,5.02332,12.42,42.657302,18.378077
2045,5.6272952,2.35704,32.756919,0.6888,12.42,47.0402,20.394444
2050,5.6272952,2.2556,35.766562,0.6888,12.42,52.035015,22.465296
2025,0.0,7.5059,1.1017031,16.3716,12.42,0.2672,8.751076300000001
2030,5.0186811,5.04524,22.154628,16.3327,12.42,32.003510999999996,17.523864
2035,5.0186811,2.81574,24.061449,15.903979999999999,12.42,37.402607,19.849383000000003
2040,5.0186811,2.4444,26.914702000000002,5.02332,12.42,41.854315,22.272791
2045,5.0186811,2.35704,30.639228,0.6888,12.42,45.453663,24.778328000000002
2050,5.0186811,2.2556,33.081101000000004,0.6888,12.42,50.408673,27.141139
2025,0.0,7.5059,1.3429702,16.3716,12.42,0.2672,8.6842797
