year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2050,6.6052549,2.2556,22.492548,0.6888,12.42,46.838979,30.025865000000003
2025,0.0,7.5059,0.6197663,16.3716,12.42,3.6277184,8.0524798
2030,3.4250311,5.04524,17.710798999999998,16.3327,12.42,36.638991000000004,18.528776
2035,3.4250311,2.81574,19.020572,15.903979999999999,12.42,41.78982,20.988042
2040,3.4250311,2.4444,20.812060000000002,5.02332,12.42,46.236430999999996,23.518634
2045,3.4250311,2.35704,23.00863,0.6888,12.42,49.956654,26.185679
2050,3.4250311,2.2556,25.542085,0.6888,12.42,55.312947,27.757294
2025,0.0,7.5059,0.1281,16.3716,12.42,1.6277385,9.4626392
2030,1.0724701,5.04524,22.518182,16.3327,12.42,38.406091999999994,19.457446
2035,1.0724701,2.81574,24.338984,15.903979999999999,12.42,42.101668,21.801644
2040,1.0724701,2.4444,26.153798,5.02332,12.42,45.775013,24.166807000000002
2045,1.0724701,2.35704,27.968687999999997,0.6888,12.42,49.454991,26.529025
2050,1.0724701,2.2556,29.783656999999998,0.6888,12.42,53.141953,28.888142
2025,0.0,7.5059,0.1281,16.3716,12.42,3.0063902,8.6211959
2030,3.2056941,5.04524,14.174619,16.3327,12.42,29.893809,23.813272
2035,3.2056941,2.81574,15.589982,15.903979999999999,12.42,32.359826,27.488326
2040,3.2056941,2.4444,17.189494,5.02332,12.42,35.063972,30.934517
2045,3.2056941,2.35704,19.649297999999998,0.6888,12.42,40.418476000000005,32.609525000000005
2050,3.2056941,2.2556,20.660733,0.6888,12.42,42.126718000000004,36.88558999999999
2025,0.0,7.5059,0.1281,16.3716,12.42,1.8636937,9.1206779
2030,1.773241,5.04524,21.866084999999998,16.3327,12.42,36.237387000000005,20.325599999999998
2035,1.773241,2.81574,23.661766,15.903979999999999,12.42,40.199366000000005,22.987925999999998
2040,1.773241,2.4444,25.728513,5.02332,12.42,44.735275,25.07993
2045,1.773241,2.35704,27.819147,0.6888,12.42,49.325016000000005,27.119705000000003
2050,1.773241,2.2556,29.89511,0.6888,12.42,54.026427000000005,29.145264
2025,0.0,7.5059,0.14356824,16.3716,12.42,3.5466036,8.5981962
2030,3.3158053,5.04524,17.375117999999997,16.3327,12.42,25.469148,26.021079
2035,3.3158053,2.81574,18.650813,15.903979999999999,12.42,27.780942,29.967385999999998
2040,3.3158053,2.4444,20.255903,5.02332,12.42,29.111759999999997,34.100301
2045,3.3158053,2.35704,21.592959,0.6888,12.42,30.118527999999998,38.562786
2050,3.3158053,2.2556,22.858879,0.6888,12.42,34.701167,41.609932
2025,0.0,7.5059,0.1281,16.3716,12.42,0.9674598099999999,9.725014
2030,2.5880755,5.04524,18.667632,16.3327,12.42,37.657544,19.383714
2035,2.5880755,2.81574,20.646232,15.903979999999999,12.42,42.114672,21.458984
2040,2.5880755,2.4444,22.537029999999998,5.02332,12.42,46.368999,23.71295
2045,2.5880755,2.35704,25.96611,0.6888,12.42,54.176342,22.83619
2050,2.5880755,2.2556,27.827981,0.6888,12.42,58.363859,25.149026999999997
2025,0.0,7.5059,0.1281,16.3716,12.42,5.3039549,7.3747571
2030,2.6853414,5.04524,21.623515,16.3327,12.42,46.102209,14.490251
2035,2.6853414,2.81574,23.822225,15.903979999999999,12.42,51.362789,16.196678
2040,2.6853414,2.4444,26.020935,5.02332,12.42,56.623369,17.903105
2045,2.6853414,2.35704,28.556462,0.6888,12.42,62.521724999999996,18.908179
2050,2.6853414,2.2556,30.793871,0.6888,12.42,67.800112,20.603303
2025,0.0,7.5059,0.1281,16.3716,12.42,3.1296546,8.473809300000001
2030,0.6804969599999999,5.04524,18.259133000000002,16.3327,12.42,39.523457,21.041306
2035,0.6804969599999999,2.81574,19.899337,15.903979999999999,12.42,43.131207,23.412654999999997
2040,0.6804969599999999,2.4444,21.479412,5.02332,12.42,47.743344,25.283215
2045,0.6804969599999999,2.35704,23.10739,0.6888,12.42,51.555299,27.552747
2050,0.6804969599999999,2.2556,24.787848,0.6888,12.42,54.490638,30.259361000000002
2025,0.0,7.5059,0.32079787,16.3716,12.42,2.3974695,9.0462923
2030,3.5520793,5.04524,19.10395,16.3327,12.42,42.802171,15.167371999999999
2035,3.5520793,2.81574,21.053245,15.903979999999999,12.42,47.787142,17.280174
2040,3.5520793,2.4444,23.00254,5.02332,12.42,52.772112,19.392975
2045,3.5520793,2.35704,25.056956,0.6888,12.42,57.702631000000004,21.47411
2050,3.5520793,2.2556,27.754742999999998,0.6888,12.42,62.278856,23.366288
2025,0.0,7.5059,0.26395557000000003,16.3716,12.42,4.582255699999999,7.4741686
2030,1.8079761,5.04524,27.688079000000002,16.3327,12.42,44.589524,14.070799999999998
2035,1.8079761,2.81574,30.416024,15.903979999999999,12.42,49.170462,15.806498
2040,1.8079761,2.4444,33.143968,5.02332,12.42,53.751400000000004,17.542196
2045,1.8079761,2.35704,35.87071,0.6888,12.42,58.340321,19.276658
2050,1.8079761,2.2556,38.597008,0.6888,12.42,62.932181,21.010666
2025,0.0,7.5059,0.12810001,16.3716,12.42,5.0331154,7.2818812
2030,5.4311618,5.04524,13.613137,16.3327,12.42,28.815372,22.115666
