year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,RENEWABLE,PENETRATION
2030,5843.503644480036,0.0,31459.63417245835,0.0,93982.21135776676,55622.549082973455,46453.43665980341,102075.98574277686,0.43668870906000795
2030,8124.0109680000405,0.0,27329.355933445557,0.0,92259.61130184711,46460.38549917655,54328.82035659907,100789.20585577562,0.43118376836695455
2030,16889.526712799965,0.0,20278.99585708689,0.0,96624.81067704796,26107.01754084643,60307.292018839165,86414.3095596856,0.3696868858168368
2030,8957.506366079991,0.0,27601.88503603119,0.0,96469.2186039681,47894.33387085639,47899.862743945756,95794.19661480215,0.40981474487615893
2030,14751.206595840033,0.0,23721.974604240466,0.0,98493.61793712853,40108.9674436662,47182.43960674925,87291.40705041545,0.37343917454723186
2030,6062.462307335984,0.0,30174.19732332912,0.0,95927.91509616726,53724.875847616655,45959.605795904776,99684.48164352143,0.4264576754803056
2030,9361.621385760029,0.0,30778.38988507572,0.0,97105.78675416802,57937.52448081641,37376.548827927356,95314.07330874377,0.40776074142778085
2030,13947.37592927993,0.0,26995.98462545194,0.0,99138.9510211286,49353.233554846374,38674.437526903246,88027.67108174962,0.3765889671946508
2030,10059.863197536024,0.0,27233.28844444637,0.0,96143.52038736793,46933.40096817663,48019.090610409556,94952.4915785862,0.40621386771587675
2030,6824.903070720055,0.0,27402.667278248628,0.0,91362.95853612683,45010.03063086804,57987.87326267175,102997.90389353978,0.44063274392958196
2030,14690.17089120009,0.0,22939.686594791157,0.0,98987.07250788856,35138.35894255791,51582.5783220671,86720.93726462501,0.37099866209465243
2030,10245.18727919997,0.0,26555.782845466383,0.0,96231.08961132795,45098.83611930733,49461.202469193646,94560.03858850097,0.40453492444278494
2030,10181.172849599967,0.0,26802.125153921672,0.0,96798.08616216801,46750.87032690404,47349.65810812071,94100.52843502475,0.40256910560438397
2030,13751.374967999971,0.0,22810.928780208393,0.0,96045.77647944776,32895.25214265807,57683.055096829354,90578.30723948742,0.3875007796341708
2030,10816.940342640075,0.0,27239.340257829106,0.0,97825.55618580847,48526.60551799918,43987.8410929896,92514.44661098879,0.3957837288170643
2030,17700.194330880055,0.0,23125.920889729092,0.0,100010.63400768902,40895.843438193275,41824.37383114594,82720.21726933922,0.3538832824356758
2030,10514.054138159936,0.0,26855.65690588773,0.0,98955.28148832856,48834.245074668266,42785.65359322004,91619.89866788831,0.3919567857449767
2030,14065.607906327952,0.0,29139.57627147517,0.0,98876.02438668809,55349.62138609498,33201.025165524385,88550.64655161937,0.3788262954079973
2030,16537.494580943927,0.0,27872.023394992924,0.0,100555.36981956883,53320.926540460394,30854.802132044944,84175.72867250534,0.36011006918718863
2030,12543.724430639955,0.0,26142.882856744647,0.0,97442.30969460822,46501.500838573964,44475.91557869243,90977.41641726639,0.3892081985765407
2030,8710.560893519974,0.0,25384.394696089348,0.0,94007.1973184474,41875.53136452318,56236.31007649846,98111.84144102165,0.41972980295624235
2030,14644.696875120037,0.0,22724.28324725889,0.0,98706.09239472824,35568.286511140184,51441.09247760518,87009.37898874536,0.3722326373850069
2030,18992.107528799974,0.0,22517.51622582225,0.0,100289.51756352895,37638.134563466534,43403.92045151356,81042.05501498008,0.3467039786737116
2030,13937.72301336002,0.0,24499.233914159624,0.0,97606.2950470882,41860.78713588604,47268.58969812388,89129.37683400992,0.3813021468834649
2030,10363.73483519997,0.0,26756.76203417129,0.0,95161.99485233575,44302.6396865707,51243.41305025456,95546.05273682525,0.4087531667885572
2030,10198.677426479935,0.0,28073.74200766246,0.0,96471.5919362476,51369.09938824335,43264.82171889082,94633.92110713417,0.4048509993888093
2030,15432.124745039953,0.0,25391.683975656902,0.0,98978.80370436846,45446.72480478583,40973.23275177574,86419.95755656157,0.3697110483703169
2030,10183.969696799986,0.0,28136.06006465527,0.0,99032.06634024838,51643.240132965846,40455.91143215914,92099.15156512498,0.39400706551925124
2030,9580.1678352,0.0,28696.587998663945,0.0,96894.87862740777,51481.90202066577,43457.15591161709,94939.05793228286,0.40615639757126354
2030,6817.445204880022,0.0,31569.621848692277,0.0,94189.59331620717,57774.77944726588,43139.29234364524,100914.07179091111,0.431717954185716
2030,7380.781922399962,0.0,28629.95730855998,0.0,93148.72722084707,48700.08672087473,52172.75029381454,100872.83701468927,0.4315415487259434
2030,4806.037353599973,0.0,30958.23392338165,0.0,90608.88175812666,55975.48221795567,50422.81699797254,106398.29921592821,0.45517988969381057
2030,15284.042126400072,0.0,24256.69267007982,0.0,98761.05476760885,40880.81158209584,45704.68495631804,86585.49653841388,0.3704192365279738
2030,15935.548147199981,0.0,28617.304539781602,0.0,99961.58812044864,53441.84375954735,32061.133233472487,85502.97699301984,0.36578813686853406
2030,13628.041256880104,0.0,25033.3157577456,0.0,97526.77656996815,44099.50301217166,45513.32395210863,89612.82696428029,0.38337038273488894
2030,14488.516861199969,0.0,22398.649882280704,0.0,96827.64835296816,31414.601258322786,57571.93716261942,88986.5384209422,0.3806910734585763
2030,7190.462509679954,0.0,29835.87272113122,0.0,96609.85903932781,54246.40814255004,43568.42508380269,97814.83322635273,0.41845917957797957
2030,16608.79911839995,0.0,22060.036072191408,0.0,98257.77285624806,35705.1569869502,49671.21940933686,85376.37639628706,0.36524653003759167
2030,6989.873451863933,0.0,28766.949852888138,0.0,97656.3358770081,49821.84641965387,46958.46531697807,96780.31173663193,0.4140334191941473
2030,12065.673041903965,0.0,26585.825011883306,0.0,98640.14613960824,46522.42968098629,43813.3680713203,90335.7977523066,0.3864633058922207
