year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2025,0.0,7.5059,1.4832888,16.3716,12.4151,0.2672,9.573026
2030,8.002457999999999,5.04524,30.005967000000002,16.3327,9.3872,49.962224,14.857638000000001
2035,8.002457999999999,2.81574,37.216419,15.903979999999999,8.3779,60.847559999999994,18.328961
2040,8.002457999999999,2.4444,42.033457000000006,5.02332,7.9098999999999995,69.703859,20.88785
2045,9.1534485,2.35704,60.21285700000001,0.6888,2.4151599999999998,101.18802000000001,30.295355
2050,10.448174000000002,2.2556,68.940083,0.6888,0.0,115.29049,34.644783000000004
2025,0.0,7.5059,1.3625600999999998,16.3716,12.4151,0.2672,8.3183027
2030,8.281398300000001,5.04524,29.812041,16.3327,9.3872,51.517563,12.352257
2035,8.281398300000001,2.81574,34.931678,15.903979999999999,8.3779,65.504821,15.310674
2040,8.281398300000001,2.4444,41.616870999999996,5.02332,7.9098999999999995,72.767683,17.423613
2045,9.1989716,2.35704,59.174913999999994,0.6888,2.4151599999999998,108.2787,25.629123
2050,9.7143987,2.2556,70.575243,0.6888,0.0,124.95397,29.932005
2025,0.0,7.5059,1.4036602,16.3716,12.4151,0.2672,9.063008400000001
2030,6.989883300000001,5.04524,27.78425,16.3327,9.3872,40.865472000000004,19.149607
2035,6.989883300000001,2.81574,33.750685,15.903979999999999,8.3779,49.617076999999995,23.151795999999997
2040,6.989883300000001,2.4444,38.207797,5.02332,7.9098999999999995,56.098462,26.207557
2045,7.351801900000001,2.35704,55.906078,0.6888,2.4151599999999998,81.720625,38.342093999999996
2050,7.351801900000001,2.2556,65.746286,0.6888,0.0,95.981914,45.090394
2025,0.0,7.5059,1.5220324,16.3716,12.4151,0.2672,8.783931899999999
2030,5.3755832,5.04524,28.702706,16.3327,9.3872,36.395528,23.58323
2035,5.5817668000000005,2.81574,33.909016,15.903979999999999,8.3779,42.944896,27.880330999999998
2040,5.5817668000000005,2.4444,38.068105,5.02332,7.9098999999999995,48.180077,31.314078000000002
2045,5.5817668000000005,2.35704,55.247186,0.6888,2.4151599999999998,69.89353999999999,45.419795
2050,5.5817668000000005,2.2556,64.592683,0.6888,0.0,81.510792,52.952786999999994
2025,0.0,7.5059,1.3335157,16.3716,12.4151,0.2672,9.3301652
2030,8.0759789,5.04524,26.451472000000003,16.3327,9.3872,31.369403,23.241274
2035,9.2779295,2.81574,30.315011,15.903979999999999,8.3779,35.854946000000005,26.651628000000002
2040,9.9285376,2.4444,33.670124,5.02332,7.9098999999999995,39.756342,29.612194
2045,10.812947,2.35704,53.715877,0.6888,2.4151599999999998,57.684012,43.706993000000004
2050,11.617434,2.2556,62.927079,0.6888,0.0,67.191951,51.057318
2025,0.0,7.5059,1.4249967,16.3716,12.4151,0.2672,9.618949
2030,11.720117,5.04524,22.666317,16.3327,9.3872,27.812651000000002,20.829827
2035,11.720117,2.81574,31.282464,15.903979999999999,8.3779,38.593387,23.877045
2040,11.720117,2.4444,37.945136,5.02332,7.9098999999999995,49.063196000000005,23.982431000000002
2045,13.843717,2.35704,58.554947,0.6888,2.4151599999999998,83.43822999999999,25.483185000000002
2050,13.843717,2.2556,70.52853999999999,0.6888,0.0,103.2242,31.740247
2025,0.0,7.5059,1.0468445,16.3716,12.4151,0.2672,8.5643258
2030,8.2088089,5.04524,27.927208999999998,16.3327,9.3872,35.236484,19.328308
2035,9.4263179,2.81574,32.148514999999996,15.903979999999999,8.3779,40.237584000000005,22.194854
2040,9.4556791,2.4444,37.416796000000005,5.02332,7.9098999999999995,45.896791,25.459666000000002
2045,11.38701,2.35704,54.91042899999999,0.6888,2.4151599999999998,65.155219,36.670792999999996
2050,12.101657,2.2556,64.63645199999999,0.6888,0.0,76.491062,43.227365
2025,0.0,7.5059,1.1104758,16.3716,12.4151,0.2672,8.7576803
2030,6.5264283999999995,5.04524,28.712206,16.3327,9.3872,36.788542,21.865754000000003
2035,7.2813118,2.81574,32.970639999999996,15.903979999999999,8.3779,43.422557999999995,25.187229
2040,7.2813118,2.4444,37.717777999999996,5.02332,7.9098999999999995,48.834734,28.656650000000003
2045,8.5153491,2.35704,53.232705,0.6888,2.4151599999999998,72.677632,39.594888
2050,9.2555218,2.2556,62.088508000000004,0.6888,0.0,83.659723,45.926769
2025,0.0,7.5059,1.3532102,16.3716,12.4151,0.2672,8.690809400000001
2030,6.689476399999999,5.04524,27.508885999999997,16.3327,9.3872,46.874921,17.792903
2035,6.689476399999999,2.81574,33.182012,15.903979999999999,8.3779,56.978631,21.388774
2040,6.689476399999999,2.4444,37.527485999999996,5.02332,7.9098999999999995,64.424571,24.114981
2045,8.2103123,2.35704,52.946896,0.6888,2.4151599999999998,90.666557,33.438105
2050,8.2375444,2.2556,62.73962,0.6888,0.0,107.07637,39.287865
2025,0.0,7.5059,1.5222304,16.3716,12.4151,0.2672,8.5523388
2030,9.8683241,5.04524,26.301942999999998,16.3327,9.3872,37.739099,16.97812
2035,11.092153,2.81574,30.774288000000002,15.903979999999999,8.3779,43.611602,19.787361
2040,11.144131,2.4444,36.628972000000005,5.02332,7.9098999999999995,49.876578,22.875429
2045,14.719876000000001,2.35704,50.527176,0.6888,2.4151599999999998,68.862754,31.89604
2050,16.069894,2.2556,61.298649,0.6888,0.0,78.895937,36.827079
