year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2025,0.0,7505.9,9324.5474,16371.6,12415.1,6477.2203,6387.82
2030,19677.392,5045.24,18130.629,16332.7,9387.2,34609.616,9727.9695
2035,21304.86,2815.74,22465.161,15903.98,8377.9,42294.329,13086.805
2040,21667.683,2444.4,28502.328,5023.32,7909.9,53312.099,14783.695
2045,25882.275,2357.04,45332.953,688.8,2415.16,81126.393,21722.358
2050,27009.416,2255.6,58544.2,688.8,0.0,104905.94,23237.532
