year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
2025,0.0,7505.9,9317.8133,16371.6,12420.0,6471.5138,6387.82
2030,16281.903,5045.24,14717.456,16332.7,12420.0,30518.183,7305.7442
2035,17028.395,2815.74,17593.893,15903.98,12420.0,36213.906,8291.6572
2040,17032.206,2444.4,22946.371,5023.32,12420.0,45331.555,9400.4765
2045,17032.206,2357.04,28778.71,688.8,12420.0,53809.819,11141.626
2050,17315.129,2255.6,33281.437,688.8,12420.0,61892.936,12473.997
