,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
0,2.2556,11.058154,0.6888,12.42,9.340416800000002,4.0587424,13.784325999999998
1,2.2556,10.671303,0.6888,12.42,9.613886599999999,3.9237782,14.019179
2,2.2556,9.1692782,0.6888,12.42,7.3061959,2.1093506000000004,14.957058000000002
3,2.2556,11.372143,0.6888,12.42,10.495992,3.7725392,13.659566
4,2.2556,9.9539907,0.6888,12.42,7.4084462,2.5146806,14.707616
5,2.2556,9.9031946,0.6888,12.42,8.7397468,2.6703341,14.359898999999999
6,2.2556,9.636551299999999,0.6888,12.42,9.167475399999999,2.1700311,14.629779000000001
7,2.2556,9.824069,0.6888,12.42,8.8558523,2.3054561,14.634406
8,2.2556,9.610955599999999,0.6888,12.42,6.5577621,1.9327512999999998,15.013981
9,2.2556,10.054904,0.6888,12.42,9.485593999999999,3.3854154,14.234421000000001
10,2.2556,9.302419,0.6888,12.42,6.7154694,1.7689161999999998,15.089581
11,2.2556,10.292236999999998,0.6888,12.42,7.4068887000000005,2.6305413,14.577627
12,2.2556,8.6368395,0.6888,12.42,7.4404026000000005,1.4095826999999999,15.16135
13,2.2556,9.6082216,0.6888,12.42,6.2288781,2.2751812,14.982460999999999
14,2.2556,10.816677,0.6888,12.42,10.762253000000001,3.2918559,13.868212
15,2.2556,8.905808,0.6888,12.42,7.3786374,1.6724656,15.045247
16,2.2556,10.124867,0.6888,12.42,9.9207602,2.6508277,14.276531
17,2.2556,8.8936556,0.6888,12.42,6.2346291,0.81819045,15.452772000000001
18,2.2556,8.8946179,0.6888,12.42,6.1001457,0.77345849,15.470164
19,2.2556,9.533008599999999,0.6888,12.42,6.616037,1.5147487000000002,15.156142
20,2.2556,9.4450322,0.6888,12.42,7.9927975,2.4005564,14.713225
21,2.2556,9.3119694,0.6888,12.42,6.5567715,1.3223732,15.231501
22,2.2556,9.3107032,0.6888,12.42,6.9602573,1.5205853999999999,15.028051
23,2.2556,10.206643,0.6888,12.42,8.7250456,3.0984741,14.345615
24,2.2556,8.7574543,0.6888,12.42,8.4480646,1.2705274,15.06551
25,2.2556,9.833208,0.6888,12.42,10.973244000000001,2.3555682,14.231351
26,2.2556,9.023307500000001,0.6888,12.42,7.2592842,1.6485841,15.045665000000001
27,2.2556,10.373018,0.6888,12.42,11.181625,3.1049825,13.914292
28,2.2556,9.5819136,0.6888,12.42,8.8049318,2.3824197,14.515902
29,2.2556,9.5076686,0.6888,12.42,8.4028236,2.0740576,14.61251
30,2.2556,10.201788,0.6888,12.42,7.934399900000001,2.8461681,14.456061
31,2.2556,10.183271000000001,0.6888,12.42,8.1905903,2.9441873999999997,14.363553
32,2.2556,8.6592152,0.6888,12.42,7.310844100000001,0.7948090499999999,15.352079999999999
33,2.2556,10.020812,0.6888,12.42,8.0018064,2.5090489,14.538865
34,2.2556,10.054356,0.6888,12.42,8.6284159,2.9986412999999996,14.390032999999999
35,2.2556,9.5424998,0.6888,12.42,8.2160133,2.9186373,14.569533
36,2.2556,10.690403,0.6888,12.42,10.412094999999999,3.2514584,13.864548000000001
37,2.2556,8.445048199999999,0.6888,12.42,6.9948194,0.54305051,15.505452
38,2.2556,11.11294,0.6888,12.42,10.311435,3.792729,13.624032999999999
39,2.2556,9.7346279,0.6888,12.42,10.437005,2.8350699,14.301165000000001
40,2.2556,9.5520344,0.6888,12.42,9.7033026,2.3318432,14.408598
41,2.2556,10.367246999999999,0.6888,12.42,7.9574326,3.4957211999999998,14.263577999999999
42,2.2556,9.648289199999999,0.6888,12.42,9.363395899999999,2.598237,14.478041
43,2.2556,8.3608972,0.6888,12.42,6.7178889,0.3607741,15.58985
44,2.2556,10.188203,0.6888,12.42,8.0215833,2.2651658,14.736223
45,2.2556,10.084506,0.6888,12.42,8.6614181,3.1217550999999997,14.407162
46,2.2556,9.461000700000001,0.6888,12.42,7.0590355,1.8438689,15.119264
47,2.2556,10.313947,0.6888,12.42,9.663181699999999,2.4116774999999997,14.453947
48,2.2556,9.7413489,0.6888,12.42,6.5058774999999995,1.6155582,15.162945
