BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV
4.0874166,2.2556,72.162505,0.6888,0,103.12203,44.514674,0,0,0
5.6795156,2.2556,65.633594,0.6888,0,85.602187,48.905828,0,0,0
12.625109,2.2556,56.660241,0.6888,0,54.997926,55.845241,0,0,0
6.5781062,2.2556,72.050973,0.6888,0,104.53092,35.733439,0,0,0
14.307759,2.2556,58.480932,0.6888,0,74.412527,41.995443,0,0,0
5.1164639,2.2556,70.52885,0.6888,0,101.93554,41.687073,0,0,0
7.059977,2.2556,69.595567,0.6888,0,115.65816,37.691906,0,0,0
10.526998,2.2556,69.511513,0.6888,0,100.97586,35.093641,0,0,0
6.730044,2.2556,65.81877,0.6888,0,92.762839,45.86651,0,0,0
5.6780053,2.2556,66.481813,0.6888,0,78.536218,51.676613,0,0,0
12.09522,2.2556,57.914146,0.6888,0,65.145452,50.701722,0,0,0
6.5589575,2.2556,67.044559,0.6888,0,89.186254,51.924568,0,0,0
8.1571353,2.2556,65.210801,0.6888,0,88.219748,45.717899,0,0,0
10.736687,2.2556,58.347982,0.6888,0,67.544847,53.112489,0,0,0
8.5420588,2.2556,71.348057,0.6888,0,97.203464,40.579856,0,0,0
13.922042,2.2556,65.223945,0.6888,0,82.727337,41.134075,0,0,0
8.1321356,2.2556,70.140323,0.6888,0,100.87486,40.426746,0,0,0
10.448174,2.2556,68.940083,0.6888,0,115.29049,34.644783,0,0,0
9.7143987,2.2556,70.575243,0.6888,0,124.95397,29.932005,0,0,0
7.3518019,2.2556,65.746286,0.6888,0,95.981914,45.090394,0,0,0
5.5817668,2.2556,64.592683,0.6888,0,81.510792,52.952787,0,0,0
11.617434,2.2556,62.927079,0.6888,0,67.191951,51.057318,0,0,0
13.843717,2.2556,70.52854,0.6888,0,103.2242,31.740247,0,0,0
12.101657,2.2556,64.636452,0.6888,0,76.491062,43.227365,0,0,0
9.2555218,2.2556,62.088508,0.6888,0,83.659723,45.926769,0,0,0
8.2375444,2.2556,62.73962,0.6888,0,107.07637,39.287865,0,0,0
16.069894,2.2556,61.298649,0.6888,0,78.895937,36.827079,0,0,0
7.9661542,2.2556,68.06067,0.6888,0,104.17405,38.27729,0,0,0
8.632141,2.2556,65.2605,0.6888,0,95.262969,43.660368,0,0,0
