BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM
9.2624982,2.2556,41.543068,0.6888,0,83.610857,54.15535
3.0802514,2.2556,37.017654,0.6888,0,90.082876,60.959536
2.1572584,2.2556,61.585434,0.6888,0,127.52247,31.751681
3.8364983,2.2556,46.995511,0.6888,0,77.599013,58.273852
6.7124746,2.2556,35.95733,0.6888,0,55.416609,74.698678
3.2609641,2.2556,45.638026,0.6888,0,94.478057,52.477472
4.1992845,2.2556,65.71521,0.6888,0,99.437112,42.613487
1.8527665,2.2556,67.612171,0.6888,0,100.13693,44.807772
2.8972876,2.2556,42.426647,0.6888,0,76.147106,63.210484
6.7699137,2.2556,49.802026,0.6888,0,111.9579,37.61586
10.075507,2.2556,40.842291,0.6888,0,80.61294,54.658254
5.6474452,2.2556,45.925701,0.6888,0,84.601878,52.368445
1.1816806,2.2556,47.858208,0.6888,0,95.64361,52.408158
3.288497,2.2556,41.278547,0.6888,0,85.889142,59.905497
7.0910687,2.2556,38.526574,0.6888,0,54.443242,75.197571
4.9408516,2.2556,43.520465,0.6888,0,87.265266,53.618759
2.1955711,2.2556,42.207262,0.6888,0,96.595562,53.468732
1.8987061,2.2556,42.556948,0.6888,0,93.286731,54.694557
3.2879723,2.2556,43.414581,0.6888,0,91.151402,55.669043
5.6952767,2.2556,53.945997,0.6888,0,117.11721,35.270832
5.0369974,2.2556,43.423793,0.6888,0,82.053143,54.953581
2.3276076,2.2556,42.163152,0.6888,0,75.471883,59.366522
7.5246396,2.2556,44.178632,0.6888,0,80.293675,51.264754
5.918377,2.2556,42.336289,0.6888,0,89.186535,50.668869
5.7531387,2.2556,42.084286,0.6888,0,62.334603,67.867144
3.2642773,2.2556,56.04258,0.6888,0,72.554271,56.003742
1.9116049,2.2556,45.711745,0.6888,0,101.92491,48.589848
2.3159785,2.2556,39.808128,0.6888,0,90.759593,56.037642
4.593842,2.2556,39.130656,0.6888,0,73.985254,62.551621
4.8417847,2.2556,50.945454,0.6888,0,82.725175,50.860669
10.0344,2.2556,37.927723,0.6888,0,76.684311,57.705698
3.8756953,2.2556,32.505515,0.6888,0,80.759112,66.398146
5.7813582,2.2556,32.120353,0.6888,0,66.381553,72.705146
7.4769489,2.2556,40.209309,0.6888,0,82.66283,52.621042
8.793316,2.2556,28.088909,0.6888,0,61.585814,71.862291
7.5609986,2.2556,38.895615,0.6888,0,72.282641,59.087553
8.1999711,2.2556,38.564231,0.6888,0,76.716619,58.94183
3.744571,2.2556,45.607482,0.6888,0,97.388076,48.030438
2.8993767,2.2556,35.80643,0.6888,0,74.930267,66.893231
12.483987,2.2556,34.437468,0.6888,0,72.826929,57.718801
13.604693,2.2556,36.174951,0.6888,0,66.083007,55.90324
8.6522279,2.2556,41.041348,0.6888,0,91.663811,47.614378
10.265388,2.2556,36.847843,0.6888,0,57.636299,66.30975
11.549204,2.2556,47.934193,0.6888,0,75.087457,47.434591
9.639209,2.2556,27.353559,0.6888,0,45.216069,78.602528
7.5092324,2.2556,41.422134,0.6888,0,97.352466,47.488466
2.4745946,2.2556,43.95516,0.6888,0,86.892385,57.450114
2.5808185,2.2556,46.571076,0.6888,0,97.512916,49.723096
8.2650017,2.2556,33.735933,0.6888,0,86.881582,54.419584
7.5084866,2.2556,42.851444,0.6888,0,83.683816,51.949301
5.4178527,2.2556,43.842952,0.6888,0,95.032512,50.678649
1.5108998,2.2556,35.395451,0.6888,0,70.576422,67.555773
7.203381,2.2556,40.620187,0.6888,0,81.256185,53.165971
7.7315924,2.2556,39.795626,0.6888,0,80.090834,53.814441
6.8039519,2.2556,37.781213,0.6888,0,57.032146,70.76609
3.294628,2.2556,43.763048,0.6888,0,84.583064,54.213903
1.8632144,2.2556,41.729787,0.6888,0,94.862968,55.480834
3.6998928,2.2556,38.066671,0.6888,0,87.842116,56.00135
6.4066183,2.2556,36.577346,0.6888,0,76.987104,59.98375
