year,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV
2035,2.81574,9.434319499999999,15.903979999999999,12.42,10.936207,3.21062,10.490665000000002
2040,2.4444,9.679033299999999,5.02332,12.42,10.918267,3.0370793,11.674826
2045,2.35704,9.9574485,0.6888,12.42,10.721027,2.9777489999999998,12.863305
2050,2.2556,10.373018,0.6888,12.42,11.181625,3.1049825,13.914292
2025,7.5059,0.50148772,16.3716,12.42,0.2672,6.29482,1.065279
2030,5.04524,8.4879,16.3327,12.42,9.0703318,5.61546,9.6571388
2035,2.81574,8.8041762,15.903979999999999,12.42,9.0495118,3.21062,10.945378
2040,2.4444,8.616935100000001,5.02332,12.42,9.0315718,1.91224,12.391718999999998
2045,2.35704,9.2656832,0.6888,12.42,8.8343318,2.3824197,13.366653
2050,2.2556,9.5819136,0.6888,12.42,8.8049318,2.3824197,14.515902
2025,7.5059,0.69744299,16.3716,12.42,0.2672,6.29482,0.75220519
2030,5.04524,8.382777,16.3327,12.42,8.3027107,5.61546,9.775533600000001
2035,2.81574,8.6383362,15.903979999999999,12.42,8.2818907,3.21062,11.084637
2040,2.4444,8.886350700000001,5.02332,12.42,8.263950699999999,2.0958835,12.324778
2045,2.35704,9.127361800000001,0.6888,12.42,8.0667107,1.9910953,13.53121
2050,2.2556,9.5076686,0.6888,12.42,8.4028236,2.0740576,14.61251
2025,7.5059,0.55312291,16.3716,12.42,0.2672,6.29482,0.94874588
2030,5.04524,9.579701199999999,16.3327,12.42,8.1339704,5.61546,9.4416528
2035,2.81574,9.5636212,15.903979999999999,12.42,8.1789799,3.21062,10.861217
2040,2.4444,9.1385983,5.02332,12.42,8.1610399,2.5379283999999998,12.296513999999998
2045,2.35704,8.6521149,0.6888,12.42,7.9637999,1.5738554,13.858032999999999
2050,2.2556,10.201788,0.6888,12.42,7.934399900000001,2.8461681,14.456061
2025,7.5059,0.70010207,16.3716,12.42,0.2672,6.29482,0.87910893
2030,5.04524,9.4260743,16.3327,12.42,7.3654753,5.61546,9.5364314
2035,2.81574,9.409994300000001,15.903979999999999,12.42,8.4351703,3.21062,10.796606
2040,2.4444,8.8379922,5.02332,12.42,8.4172303,2.1600867,12.388822
2045,2.35704,9.8435391,0.6888,12.42,8.2199903,2.9441873999999997,13.215629999999999
2050,2.2556,10.183271000000001,0.6888,12.42,8.1905903,2.9441873999999997,14.363553
