year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,NUCLEAR_ADV,COAL_ADV,NATGAS_ADV,RENEWABLE,PENETRATION
2030,5843.503644480035,0.0,31453.26221009455,0.0,93982.21131840737,55778.92476308746,46295.93651467345,,,,102074.86127776091,0.4366838985144852
2030,8124.010968000041,0.0,27328.82147420028,0.0,92259.61130004704,46473.883748446344,54315.22780938868,,,,100789.11155783501,0.4311833649533049
2030,16889.526712799965,0.0,20279.238941660627,0.0,96624.81069384828,26099.5751538164,60314.77730695972,,,,86414.35246077612,0.3696870693509139
2030,8957.506320960003,0.0,27581.13805054946,0.0,96469.21863060778,47840.8913085166,47949.64407682593,2.0177165075499836e-05,,,95790.53538534252,0.40979908186242786
2030,14751.206584800026,0.0,23721.45321573789,0.0,98493.61795236827,39903.022878056356,47388.292165249,,,,87291.31504330535,0.37343878093392663
2030,6062.462305415986,0.0,30163.290527318546,0.0,95927.91508656727,53790.56744694648,45891.98945306408,,,,99682.55690001056,0.4264494412834676
2030,9361.621388640022,0.0,30762.486450827117,0.0,97105.78672188784,58004.286594316465,37306.980221777485,0.0,,,95311.26681609395,0.4077487350421132
2030,13947.37592855992,0.0,26954.828951892752,0.0,99138.95098752843,49333.63047477644,38686.777890863,8.7030952174999e-06,,,88020.40836563944,0.37655789675139867
2030,10059.863197536031,0.0,27233.03570968273,0.0,96143.52037296808,46961.74818432833,47990.69879193954,,,,94952.44697626788,0.4062136769038198
2030,6824.90307312005,0.0,27387.839946166503,0.0,91362.95849616661,44943.217846096435,58052.069451991614,,,,102995.28729808805,0.44062154993834457
2030,14690.170891200067,0.0,22939.00761384959,0.0,98987.07251700862,35027.215081466435,51693.60234017725,1.28687484816001e-05,,,86720.81742164367,0.3709981493974061
2030,10245.187293599975,0.0,26549.592249844165,0.0,96231.08964012787,44480.184336057355,50078.76180346387,,,,94558.94613952123,0.4045302508642619
2030,10181.172849599967,0.0,26768.863820887393,0.0,96798.08619348776,46141.500642104336,47953.15814158109,,,,94094.65878368542,0.40254399479651515
2030,13751.374970399966,0.0,22810.801594602162,0.0,96045.77645508801,32821.93890315817,57756.34589158932,,,,90578.28479474748,0.38750068361389295
2030,10816.940352240043,0.0,27233.503170243028,0.0,97825.55616900798,47968.322873599245,44545.093643169894,,,,92513.41651676914,0.3957793219968733
2030,17700.19433088005,0.0,23116.195921832652,0.0,100010.63402520852,40478.48110251315,42240.01998729596,,,,82718.50108980911,0.353875940491162
2030,10514.054169359948,0.0,26840.400057166902,0.0,98955.28149960881,48219.86781104805,43397.338458109814,0.0,,,91617.20626915786,0.39194526746163794
2030,6933.078572399947,0.0,20897.9704444379,0.0,100617.94835484872,44363.2692933273,24883.797688603514,23239.784312300155,,,69247.06698193081,0.29624413682109435
2030,10287.994126799971,0.0,21058.798708898332,0.0,100894.71432360874,44412.563671140204,24156.25835461897,20314.72908162593,,,68568.82202575917,0.2933425541208949
2030,12543.724430159955,0.0,26138.350287514917,0.0,97442.30972652786,45659.32354229719,45317.29299673236,,,,90976.61653902955,0.3892047766375596
2030,8710.560893519976,0.0,25375.542828440848,0.0,94007.19732324721,41568.993055523286,56541.28631209866,,,,98110.27936762194,0.41972312028929176
2030,14644.696875120022,0.0,22723.652851815044,0.0,98706.09239148858,35392.14864003026,51617.119098036186,4.545338650699952e-06,,,87009.26773806644,0.3722321614462735
2030,7937.397686471985,0.0,16676.818289999814,0.0,101170.55819568911,35468.51139048795,24813.87048264357,29902.63104065925,,,60282.38187313152,0.25789254277275514
2030,13937.72301336002,0.0,24499.224554066637,0.0,97606.29504228843,41657.90461029594,47471.47057712355,,,,89129.3751874195,0.3813021398392278
2030,10363.734835199972,0.0,26756.578835722124,0.0,95161.99484513559,44305.116049625845,51240.90434541447,,,,95546.02039504031,0.40875302842797995
2030,10198.67743367993,0.0,28060.362088552603,0.0,96471.59187300794,51374.07357905589,43257.48638799094,,,,94631.55996704684,0.40484089825474584
2030,15432.124765919949,0.0,25391.371905807035,0.0,98978.80371156838,45413.67690401923,41006.22556580586,,,,86419.90246982509,0.36971081270513406
2030,10183.969696799995,0.0,28140.292578870554,0.0,99032.06633232837,51554.979448266015,40544.91906510901,,,,92099.89851337502,0.3940102610197862
2030,9580.167835199985,0.0,28696.36226017919,0.0,96894.87863940831,51435.84965190594,43503.168427307406,,,,94939.01807921335,0.40615622707684856
2030,6817.445204880018,0.0,31569.795276507037,0.0,94189.59328248726,57763.3854148658,43150.71699796491,,,,100914.10241283072,0.4317180851885806
2030,7380.7819223999595,0.0,28630.002787244142,0.0,93148.7272064471,48790.12299147727,52082.72204388741,,,,100872.84503536468,0.43154158303899326
2030,4806.03735359997,0.0,30953.598485431172,0.0,90608.88179352625,55981.399905415856,50416.08128261269,,,,106397.48118802856,0.45517639010921307
2030,15284.042126400078,0.0,24258.38498208774,0.0,98761.05475632857,40767.55521049596,45818.239950538285,,,,86585.79516103424,0.3704205140579005
2030,6780.274554000009,0.0,15829.092236617133,0.0,101183.2567636892,33126.92792900511,24852.09305043368,33200.81720210938,,,57979.02097943879,0.2480385924254066
2030,13628.041256880098,0.0,25033.202886351522,0.0,97526.77656024808,43711.01768775029,45901.789358528775,,,,89612.80704627906,0.3833702975241885
2030,14488.516794239957,0.0,22399.065277443082,0.0,96827.64826428756,31575.42752487062,57411.1842949496,1.2163970886899954e-05,,,88986.61181982022,0.3806913874644715
