year,BIOMASS,COAL_CONV,LI_BATTERY,NATGAS_CONV,NUCLEAR_CONV,SOLAR_FARM,WIND_FARM,RENEWABLE,PENETRATION
2030,9990.693938640008,0.0,38683.813464205814,0.0,69224.50515840319,68059.32580531455,55902.0310989937,123961.35690430825,0.5303159653660247
2030,13199.489606399957,0.0,32479.698993594462,0.0,68094.18027768306,54011.50809285648,66776.53419366383,120788.0422865203,0.5167402878567713
2030,22674.29141039999,0.0,24854.862539300142,0.0,71264.08632480355,31419.048204396444,75378.72672799768,106797.77493239412,0.4568888767161246
2030,13571.655703439983,0.0,33797.958718548005,0.0,72611.3453796035,58255.57390352648,57875.77113570093,116131.34503922741,0.49681858840311194
2030,20401.94094000006,0.0,29370.197665628635,0.0,73985.0926893641,49372.52353878729,57773.419428982095,107145.94296776938,0.4583783656375161
2030,9814.788600000024,0.0,37043.195310142895,0.0,71523.75687120343,65697.83192272087,55850.657502461894,121548.48942518276,0.5199935376478407
2030,12907.467356784113,0.0,38497.839732729175,0.0,71788.40459760341,72198.92409250663,46248.94086821209,118447.86496071873,0.5067288340565507
2030,18876.114251999978,0.0,33365.30944400933,0.0,74852.86864488416,60796.25904190623,47712.75427718004,108509.01331908628,0.4642096826484975
2030,15413.168628000123,0.0,33246.712490500184,0.0,71827.81488480375,57092.139591081665,57883.944249546745,114976.08384062842,0.4918762945053622
2030,13020.606756000074,0.0,31914.207049485605,0.0,68737.74268608275,52306.633180496516,67916.9367693434,120223.56994983992,0.5143254329404916
2030,18238.68246239993,0.0,29064.68659631785,0.0,73629.97682256391,44501.18354086657,65109.22009734446,109610.40363821104,0.4689215128907424
2030,13530.591657600045,0.0,33371.83716440072,0.0,70625.75433072339,56106.218538499255,61976.58372291327,118082.80226141252,0.5051670684980215
2030,14847.939487295987,0.0,32305.170251919237,0.0,71753.90578560384,55671.66403664428,59777.40350895212,115449.0675455964,0.49389975420576
2030,19006.46949359997,0.0,28264.304462004253,0.0,71522.16179688349,40925.33932217616,69883.84826119176,110809.18758336792,0.47405000035665423
2030,14069.351272800046,0.0,34417.93377075687,0.0,72274.05636240383,61004.294748980225,55076.051138584924,116080.34588756514,0.49660041021418244
2030,23359.200456000042,0.0,28677.987271530572,0.0,75331.14714240447,50535.434593011196,52185.03959454176,102720.47418755296,0.4394458788772319
2030,15390.178598400013,0.0,33244.69333152336,0.0,74703.17735002025,60010.78618863228,52112.569073447135,112123.35526207942,0.47967210807306704
2030,21004.382037600044,0.0,35570.113729531346,0.0,74177.68693440426,67412.64940062902,40032.36103814831,107445.01043877733,0.4596577986685661
2030,22753.74964536011,0.0,34967.08692454026,0.0,75957.50571120455,66312.59168693796,37496.815922785056,103809.40760972301,0.4441044175817027
2030,18269.15316000011,0.0,31912.850588921534,0.0,73380.78759840396,56425.15623425206,53906.582849773746,110331.73908402582,0.4720074399316612
