year,LandbasedWind,UtilityPV,Res PV,Coal-CCS,Nuclear,NaturalGas-CCS,Battery,Biomass
2000-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2001-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2002-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2003-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2004-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2005-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2006-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2007-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2008-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2009-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2010-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2011-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2012-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2013-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2014-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2015-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2016-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2017-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2018-01-01,1.8455488815222298,1.56588191115255,3.05431820907486,5.930664535032239,6.1247277640091795,2.66587834294951,1.633,4.02
2019-01-01,1.81640083145597,1.37537767892254,2.7962450712039497,5.908502697484271,6.093459970776149,2.6269583996015697,1.544,4.0089999999999995
2020-01-01,1.7859812894311498,1.32476149289451,2.64427866309624,5.88634085993629,6.062192177543129,2.58803845625364,1.4549999999999998,3.997
2021-01-01,1.75429025544777,1.27414530686649,2.49231225498853,5.86417902238831,6.0309243843101,2.5491185129056997,1.365,3.985
2022-01-01,1.7213277295058198,1.2235291208384698,2.3403458468808096,5.84201718484033,5.99965659107708,2.51019856955777,1.274,3.973
2023-01-01,1.68709371160531,1.1729129348104501,2.1883794387730995,5.81985534729235,5.9683887978440495,2.4712786262098296,1.184,3.961
2024-01-01,1.65158820174623,1.12229674878242,2.03641303066539,5.79769350974437,5.93712100461103,2.41430640586012,1.0939999999999999,3.949
2025-01-01,1.6148111999285901,1.0716805627543997,1.8844466225576801,5.7606867416893905,5.905853211377999,2.3739754306616097,1.004,3.9269999999999996
2026-01-01,1.57676270615239,1.02106437672638,1.73248021444997,5.7353815612229395,5.874585418144981,2.34571439592163,0.967,3.913
2027-01-01,1.5374427204176297,0.970448190698357,1.58051380634226,5.706558278747659,5.83970363120086,2.31605551831308,0.9289999999999999,3.896
2028-01-01,1.4968512427243,0.919832004670335,1.4285473982345498,5.68048552130279,5.80762853307858,2.2933855241281496,0.892,3.8819999999999997
2029-01-01,1.45498827307241,0.8692158186423119,1.2765809901268401,5.65288834300666,5.773982806838569,2.2751191670829796,0.855,3.8659999999999997
2030-01-01,1.4118538114619499,0.8185996326142899,1.12461458201913,5.61955282358211,5.73447262162429,2.2535735949987,0.817,3.847
2031-01-01,1.4009929201904399,0.811327965152605,1.1112667070863698,5.587680387654189,5.69645439402837,2.23375382816213,0.8069999999999999,3.828
2032-01-01,1.390058296701,0.80405629769092,1.0979188321536202,5.55393549942655,5.65652852654125,2.2132718651363197,0.7969999999999999,3.808
2033-01-01,1.3790499409936399,0.796784630229236,1.08457095722087,5.5193547940314405,5.61575536444658,2.1912156860880496,0.7869999999999999,3.788
2034-01-01,1.3679678530683699,0.789512962767551,1.07122308228811,5.49071788321048,5.581027659791079,2.17249202165914,0.7759999999999999,3.772
2035-01-01,1.3568120329251798,0.782241295305866,1.05787520735536,5.4604816398659,5.54466770375819,2.1564740900488797,0.766,3.754
2036-01-01,1.34558248056407,0.774969627844181,1.0445273324225999,5.42265750489986,5.5006060501781295,2.1384595755145104,0.756,3.7319999999999998
2037-01-01,1.33427919598504,0.7676979603824969,1.0311794574898498,5.39276272829712,5.46459109260369,2.12357408083355,0.746,3.715
2038-01-01,1.3229021791881,0.760426292920812,1.0178315825571,5.36081671843419,5.42649291843593,2.1078787309217697,0.736,3.6959999999999997
