,Steam Production (klbs),CWS,TES
2018-12-31 00:00:00,222.04004785000004,2488.723013889167,0.0
2018-12-31 01:00:00,224.66977950000003,2474.2399638888337,0.0
2018-12-31 02:00:00,225.55583091666668,2415.323719445166,0.0
2018-12-31 03:00:00,228.58478233333335,2382.6948222220003,0.0
2018-12-31 04:00:00,232.77730233333338,2343.501849999501,0.0
2018-12-31 05:00:00,235.7838855,2338.6740916668336,0.0
2018-12-31 06:00:00,244.08307000000005,2328.055341666666,0.0
2018-12-31 07:00:00,256.8617156666666,2334.449091666999,0.0
2018-12-31 08:00:00,259.0310015833333,2349.204977778,0.0
2018-12-31 09:00:00,266.77057616666673,2216.4557722219997,856.693150805555
2018-12-31 10:00:00,267.68370758333333,1544.0303583333334,1534.6464583334996
2018-12-31 11:00:00,268.74437066666655,1477.2092583333335,1266.0628313889997
2018-12-31 12:00:00,266.05252891666663,1378.245613888333,1317.0562683330004
2018-12-31 13:00:00,262.04681124999996,1396.6204555555,1360.6646141665003
2018-12-31 14:00:00,261.55918966666667,1378.8710555559999,1324.5486688888332
2018-12-31 15:00:00,262.89654391666664,1358.3821805558334,1306.8006100001667
2018-12-31 16:00:00,263.0596281666667,1339.8478416663336,1255.8754827774999
2018-12-31 17:00:00,260.97702074999995,1345.1566027778329,1262.7673341665004
2018-12-31 18:00:00,263.5112501666666,1310.9825972219996,1263.787926388833
2018-12-31 19:00:00,265.22563216666657,1293.5428083326672,1255.5148788888334
2018-12-31 20:00:00,261.1396315833333,1278.3766277778336,1263.6070066663335
2018-12-31 21:00:00,257.6087165833334,1264.5935361113332,1039.4328451636618
2018-12-31 22:00:00,250.0804998333334,1909.3490444444994,0.0
2018-12-31 23:00:00,251.8578884166666,1989.9006111108324,0.0
2019-01-01 00:00:00,248.14587466666663,1983.5992555558335,0.0
2019-01-01 01:00:00,244.94390725,1994.4294388886667,0.0
2019-01-01 02:00:00,243.619262,2035.8737027776672,0.0
